"","ID","Fname","Lname","gender","City","FamilyIncome","EdYears","FamilySize","boughtelectronics"
"32",32,"Robert","Van Horn","M","Toronto",15030,10,4,"NO"
"33",33,"Christina","Colvin","F","Edmonton",31000,12,2,"NO"
"34",34,"Luke","Hogan","M","Montreal",34564,10,4,"NO"
"35",35,"Brandon","Mustillo","M","Victoria",24807,11,3,"NO"
"36",36,"Audrey","Harding","F","Edmonton",40343,10,4,"YES"
"37",37,"Brecken","Cobb","F","Vancouver",30669,10,5,"NO"
"38",38,"Ashley","Streech","F","Montreal",33617,10,3,"NO"
"39",39,"Elizabeth","Hummel","F","Toronto",19915,11,3,"NO"
"40",40,"Alycia","Kihn","F","Vancouver",24147,10,3,"NO"
"41",41,"John","Saleeby","M","Calgary",16788,10,3,"NO"
"42",42,"Abigail","Feeback","F","Toronto",19201,11,3,"NO"
"43",43,"Elizabeth","Lombritto","F","Calgary",23542,10,4,"NO"
"44",44,"Andrew","Bouck","M","Ottawa",55666,10,3,"YES"
"45",45,"Patty","Smalley","F","Calgary",16110,11,4,"NO"
"46",46,"Rowan","Dodson","M","Vancouver",33854,10,3,"NO"
"47",47,"Tyson","Krueger","M","Winnipeg",13053,11,2,"NO"
"48",48,"Phoebe","Hoffman","F","Victoria",52453,15,3,"YES"
"49",49,"Rhett","Ehrlick","M","Toronto",19961,10,4,"NO"
"50",50,"Maggie","Andrykowski","F","Calgary",47117,11,1,"NO"
"51",51,"Zachary","Stout","M","Winnipeg",19311,10,4,"NO"
"52",52,"Whittney","Diehl","F","Toronto",45706,15,2,"YES"
"53",53,"Melissa","Clearwater","F","Victoria",23776,15,3,"NO"
"54",54,"David","Shechter","M","Winnipeg",24596,11,3,"NO"
"55",55,"Jesse","Hady","M","Victoria",40475,12,5,"YES"
"56",56,"Claire","Pritekel","F","Winnipeg",37943,10,4,"NO"
"57",57,"Elexis","Seprino","F","Toronto",23294,15,2,"NO"
"58",58,"Claire","Sanelli","F","Montreal",27601,10,3,"NO"
"59",59,"Heather","Busch","F","Vancouver",32703,13,4,"YES"
"60",60,"Matthew","Kinney","M","Ottawa",30201,10,4,"NO"
"61",61,"Shane","Close","M","Victoria",12565,10,2,"NO"
"62",62,"Aaron","Woods","M","Ottawa",24003,10,5,"YES"
"63",63,"Megean","Cook","F","Victoria",25797,10,4,"NO"
"64",64,"Andrew","Skinner","M","Toronto",15817,17,4,"NO"
"65",65,"Leah","Greenlee","F","Edmonton",32654,15,3,"YES"
"66",66,"Alicia","Connor","F","Calgary",37206,18,2,"NO"
"67",67,"Tazz","Byrne","M","Edmonton",32907,10,3,"NO"
"68",68,"Samuel","Swaynie","M","Toronto",25311,11,2,"NO"
"69",69,"Shane","Mumaugh","M","Ottawa",26387,10,3,"NO"
"70",70,"Adam","Schrader","M","Winnipeg",37719,13,4,"NO"
"71",71,"Kendra","Andrew","F","Ottawa",22312,10,3,"NO"
"72",72,"Lance","Dixon","M","Vancouver",16211,12,5,"NO"
"73",73,"Madison","Jares","F","Ottawa",33071,16,4,"YES"
"74",74,"Brittany","Kinkade","F","Ottawa",22445,18,4,"YES"
"75",75,"Nicole","Fisher","F","Victoria",38720,13,3,"NO"
"76",76,"Jacob","Johnson","M","Victoria",48841,13,4,"YES"
"77",77,"Justin","Coaty","M","Winnipeg",32524,11,1,"NO"
"78",78,"Zachary","Guida","M","Vancouver",39088,11,4,"YES"
"79",79,"Rachel","Gibbons","F","Vancouver",29304,10,4,"YES"
"80",80,"Cody","Knapp","M","Vancouver",60816,11,3,"YES"
"81",81,"Seth","Mckinney","M","Montreal",20184,11,5,"YES"
"82",82,"Mariah","Hesser","F","Edmonton",21491,10,4,"NO"
"83",83,"Dean","Chupp","M","Winnipeg",20407,15,3,"NO"
"84",84,"Anya","Hildebrand","F","Toronto",47852,12,3,"YES"
"85",85,"Marina","Lowe","F","Winnipeg",30142,10,3,"NO"
"86",86,"Daniel","Garcia","M","Edmonton",11604,15,2,"NO"
"87",87,"Logan","Smith","M","Edmonton",37176,10,4,"YES"
"88",88,"Kasidy","De Alba","F","Ottawa",19464,10,4,"NO"
"89",89,"David","Nealy","M","Victoria",24415,10,4,"NO"
"90",90,"Cordel","Hinson","M","Ottawa",21904,12,3,"NO"
"91",91,"Morgan","Barnard","F","Ottawa",23689,10,3,"NO"
"92",92,"Michael","Cyester","M","Edmonton",26521,15,4,"NO"
"93",93,"London","Isaak","F","Calgary",29822,10,4,"YES"
"94",94,"Gabrielle","Krutsche","F","Toronto",31888,10,3,"NO"
"95",95,"Anthony","Degroot","M","Ottawa",29202,10,1,"NO"
"96",96,"Nathaniel","Saigeon","M","Winnipeg",17079,10,3,"NO"
"97",97,"Jeffrey","Saunar","M","Calgary",19142,15,2,"NO"
"98",98,"David","Crowder","M","Ottawa",22985,12,4,"NO"
"99",99,"Caitlan","Shore","F","Winnipeg",28773,10,2,"NO"
"100",100,"Ryan","Bowman","M","Victoria",21535,11,3,"NO"
"101",101,"Shelby","Smith","F","Toronto",28019,10,2,"NO"
"102",102,"Cammie","Goltz","F","Edmonton",33847,11,5,"YES"
"103",103,"Lysa","Branzell","F","Edmonton",14808,10,4,"NO"
"104",104,"Konnor","Walsh","M","Victoria",31262,10,3,"YES"
"105",105,"Jasmine","Healy","F","Victoria",22341,11,3,"NO"
"106",106,"Raina","Wolfe","F","Victoria",53656,10,3,"YES"
"107",107,"Arianna","Vigil-Ortega","F","Vancouver",15750,12,5,"NO"
"108",108,"Rheanna","Patten","F","Vancouver",27940,12,3,"NO"
"109",109,"Scott","Baker","M","Ottawa",42718,13,3,"YES"
"110",110,"Alesha","Hartmann","F","Montreal",29312,13,2,"NO"
"111",111,"Kathryn","Sperling","F","Ottawa",74892,10,4,"YES"
"112",112,"Ryan","Meyer","M","Montreal",24717,11,4,"NO"
"113",113,"Devin","Klein","F","Edmonton",43498,10,3,"NO"
"114",114,"Amanda","Purvis","F","Ottawa",41482,16,3,"NO"
"115",115,"Rebecka","Parker","F","Winnipeg",17846,11,4,"NO"
"116",116,"Macy","Nealy","F","Edmonton",15107,11,4,"NO"
"117",117,"Summer","Phelps","F","Montreal",24606,10,4,"YES"
"118",118,"Creighton","Kiess","M","Vancouver",29821,13,3,"NO"
"119",119,"Lexi","Klepinger","F","Ottawa",37063,17,2,"NO"
"120",120,"Mallory","Pigg","F","Toronto",23856,10,2,"NO"
"121",121,"Tryon","Newell","M","Toronto",35676,10,2,"NO"
"122",122,"Madison","Nelson","F","Toronto",24815,10,3,"NO"
"123",123,"Victoria","Schrepel","F","Edmonton",16915,11,4,"NO"
"124",124,"Stuart","Lalonde","M","Winnipeg",38276,10,1,"NO"
"125",125,"Taylor","Strickland","F","Montreal",37456,10,4,"NO"
"126",126,"Stephen","Clair","M","Montreal",21381,14,3,"NO"
"127",127,"Ryan","Cunningham","M","Montreal",23743,18,4,"NO"
"128",128,"Taylor","Smith","F","Montreal",15656,18,2,"NO"
"129",129,"Kaylee","Krueger","F","Edmonton",46108,13,4,"NO"
"130",130,"Ashley","Waltenburg","F","Toronto",48133,14,4,"YES"
"131",131,"Zackery","Rickert","M","Edmonton",49781,12,1,"NO"
"132",132,"Tori","Bullock","F","Toronto",39130,11,4,"NO"
"133",133,"Danica","Madzey","F","Vancouver",17510,10,4,"NO"
"134",134,"Daniel","Cembalisty","M","Winnipeg",25220,13,3,"NO"
"135",135,"Charles","Bartels","M","Ottawa",19831,11,3,"NO"
"136",136,"Lauren","Spencer","F","Edmonton",16875,15,3,"NO"
"137",137,"Rianna","Thompson","F","Calgary",15321,14,2,"NO"
"138",138,"Triston","Caylor","M","Ottawa",55126,18,4,"YES"
"139",139,"Tyler","Fisher","M","Winnipeg",18025,18,3,"NO"
"140",140,"Kenneth","Dripps","M","Montreal",36123,15,3,"YES"
"141",141,"Brian","Schroeder","M","Edmonton",28233,13,2,"NO"
"142",142,"Elizabeth","Ray","F","Victoria",30698,18,4,"YES"
"143",143,"Ruth","Hopkins","F","Ottawa",19413,14,1,"NO"
"144",144,"Johnathan","Moore","M","Victoria",13540,14,2,"NO"
"145",145,"Matthew","Patterson","M","Winnipeg",55759,11,1,"YES"
"146",146,"Caroline","Henry","F","Vancouver",28628,15,3,"NO"
"147",147,"Korrie","Stefo","F","Ottawa",32895,15,3,"YES"
"148",148,"Dylan","Stults","M","Montreal",27690,12,4,"NO"
"149",149,"Calvin","Dostal","M","Vancouver",23365,11,1,"NO"
"150",150,"Ryan","Ford","M","Calgary",35783,10,2,"NO"
"151",151,"Margaret","Pansini","F","Montreal",40007,11,4,"YES"
"152",152,"Jacob","Mckenna","M","Montreal",27621,15,3,"NO"
"153",153,"Madison","Rel","F","Winnipeg",31658,15,2,"NO"
"154",154,"Jordan","Bride","M","Montreal",15308,11,4,"NO"
"155",155,"Ryan","Durr Jr","M","Edmonton",24402,10,2,"NO"
"156",156,"Zaki","Swett","M","Montreal",28077,12,4,"NO"
"157",157,"Thomas","Hood","M","Winnipeg",16420,14,3,"NO"
"158",158,"Colton","Crawford","M","Winnipeg",53814,10,4,"YES"
"159",159,"Samuel","Castens","M","Vancouver",40811,10,3,"NO"
"160",160,"Justin","Stuller","M","Montreal",17633,10,4,"NO"
"161",161,"Dakota","Jones","M","Montreal",28427,13,4,"NO"
"162",162,"Kristal","Sherick","F","Ottawa",34709,10,3,"NO"
"163",163,"Maren","Roy","F","Vancouver",20645,10,4,"NO"
"164",164,"Kyle","Hansen","M","Victoria",45617,10,2,"NO"
"165",165,"Connor","Openshaw","M","Victoria",40738,16,3,"NO"
"166",166,"Mishayla","Douglas","F","Winnipeg",32195,13,4,"NO"
"167",167,"Benjamin","Beieler","M","Victoria",24332,10,3,"NO"
"168",168,"Megan","Cassio","F","Winnipeg",36823,14,5,"NO"
"169",169,"James","Hopp","M","Ottawa",39014,13,3,"NO"
"170",170,"Kaitlin","Dunn","F","Victoria",28028,19,2,"NO"
"171",171,"Jacob","Sneed","M","Montreal",20502,10,4,"NO"
"172",172,"Spencer","Bowman","M","Montreal",20592,14,4,"NO"
"173",173,"Kayla","Beasley","F","Toronto",27483,13,2,"NO"
"174",174,"Michael","Kasic","M","Victoria",50766,13,4,"YES"
"175",175,"Autumn","Harrah","F","Victoria",20977,14,4,"NO"
"176",176,"Erica","Jones","F","Vancouver",48813,10,4,"YES"
"177",177,"Olga","Dunkelman","F","Toronto",26092,10,4,"NO"
"178",178,"Tori","Maring","F","Ottawa",32620,10,3,"NO"
"179",179,"Meredith","Morton","F","Winnipeg",28764,16,3,"NO"
"180",180,"Krystal","Clay","F","Montreal",43288,10,3,"YES"
"181",181,"Shelby","Charlett","F","Calgary",38175,10,2,"NO"
"182",182,"Heather","Frye","F","Calgary",30342,13,2,"NO"
"183",183,"Kayla","Ziegenhorn","F","Victoria",25859,16,3,"NO"
"184",184,"Mckenzie","Nelson","F","Vancouver",18494,10,3,"NO"
"185",185,"Nicholas","Schumacher","M","Winnipeg",27741,10,4,"YES"
"186",186,"Harlyn","Phillips","M","Victoria",28549,10,3,"NO"
"187",187,"Zane","Pulciani","M","Winnipeg",33561,10,5,"YES"
"188",188,"Lindsey","Boggs","F","Montreal",48267,10,3,"NO"
"189",189,"Elizabeth","Deal","F","Vancouver",41952,10,1,"NO"
"190",190,"Christopher","Tolbert","M","Victoria",22805,12,1,"NO"
"191",191,"Abby","Ayers","F","Victoria",38197,10,6,"YES"
"192",192,"Robyn","Fuentes","M","Toronto",29290,10,3,"NO"
"193",193,"John","Stout","M","Ottawa",30543,15,4,"YES"
"194",194,"Ryan","Duffy","M","Winnipeg",16605,10,4,"NO"
"195",195,"Alicia","Pando","F","Winnipeg",22690,12,4,"NO"
"196",196,"Samantha","Godec","F","Toronto",32085,10,2,"NO"
"197",197,"Nikki","Brunsgaard","F","Calgary",35023,13,4,"NO"
"198",198,"Jordan","Ritchey","M","Edmonton",33012,16,5,"YES"
"199",199,"Matthew","Domagala","M","Edmonton",43405,14,4,"NO"
"200",200,"Samantha","Taylor","F","Victoria",29867,11,3,"NO"
"201",201,"Nikole","Robinder","F","Calgary",28800,12,4,"NO"
"202",202,"Madison","Ravazzolo","F","Toronto",35248,11,4,"YES"
"203",203,"Vittoria","Pittaway","F","Victoria",18653,14,2,"NO"
"204",204,"William","Ross","M","Edmonton",21134,10,5,"YES"
"205",205,"Jacob","Woller","M","Vancouver",21760,11,4,"NO"
"206",206,"Joseph","Ruckstuhl","M","Ottawa",41601,10,3,"NO"
"207",207,"Theodosios","Towry","M","Edmonton",25665,10,4,"NO"
"208",208,"Jared","Pettine","M","Winnipeg",20642,16,3,"NO"
"209",209,"Silwan","Smalley","F","Vancouver",28579,12,3,"NO"
"210",210,"Austin","Aumiller","M","Ottawa",24809,12,1,"NO"
"211",211,"Erin","Beamer","F","Toronto",27784,11,2,"NO"
"212",212,"Tyler","Stockham","M","Calgary",39078,13,3,"YES"
"213",213,"Jeffrey","Bellion","M","Winnipeg",33925,11,4,"YES"
"214",214,"Zedekiah","Carlson","M","Winnipeg",31161,13,4,"NO"
"215",215,"Wil","Neece","M","Winnipeg",27242,11,5,"NO"
"216",216,"Taylor","Conover","M","Calgary",23995,12,3,"NO"
"217",217,"David","Gramm","M","Calgary",26517,10,1,"NO"
"218",218,"Shane","Savage","M","Vancouver",41510,11,4,"NO"
"219",219,"Chelsey","Onorato","F","Toronto",42542,11,3,"NO"
"220",220,"Brandon","Rockwood","M","Calgary",39518,10,4,"YES"
"221",221,"Raquel","Bouchard","F","Toronto",24203,10,4,"NO"
"222",222,"Brittiny","Hummer","F","Ottawa",21943,10,2,"NO"
"223",223,"Erich","Loidolt","M","Victoria",35306,11,2,"NO"
"224",224,"Andrew","Gerace","M","Edmonton",22795,10,2,"NO"
"225",225,"Adam","Zubia","M","Winnipeg",19086,12,2,"NO"
"226",226,"Jason","Madden","M","Ottawa",23265,10,2,"NO"
"227",227,"Taylor","Sample","F","Calgary",39174,10,5,"YES"
"228",228,"Brian","Almeida","M","Ottawa",52244,14,2,"NO"
"229",229,"Ashley","Martin","F","Victoria",41505,10,4,"YES"
"230",230,"Jacqueline","Vidger Edwards","F","Vancouver",17195,10,2,"NO"
"231",231,"Landon","Kania","M","Victoria",22057,10,3,"NO"
"232",232,"Alec","Harr","M","Calgary",43167,10,4,"YES"
"233",233,"Marc","Ellis","M","Ottawa",35098,10,4,"YES"
"234",234,"Savannah","Hudspeth","F","Vancouver",38824,15,3,"YES"
"235",235,"Cammie","Bock","F","Ottawa",14694,11,3,"NO"
"236",236,"Andrew","Blue","M","Toronto",37735,10,3,"YES"
"237",237,"Javen","Kerber","M","Ottawa",12063,10,3,"NO"
"238",238,"Samuel","Nielsen","M","Toronto",38273,10,3,"YES"
"239",239,"Azspen","Koerlin","F","Montreal",21450,10,3,"NO"
"240",240,"Marissa","Samples","F","Victoria",45192,10,4,"YES"
"241",241,"Ashleigh","Jones","F","Winnipeg",21065,11,4,"NO"
"242",242,"Kaitlyn","Katibah","F","Montreal",18543,10,3,"NO"
"243",243,"Ryan","Guest","M","Montreal",50457,10,4,"YES"
"244",244,"Shelbie","Montgomery","F","Calgary",46872,11,2,"NO"
"245",245,"Carter","Simon","M","Victoria",41980,10,2,"NO"
"246",246,"Michael","Morgan","M","Ottawa",23837,13,4,"NO"
"247",247,"Anna","Coyne","F","Ottawa",29243,11,3,"NO"
"248",248,"Britnee","Guidry","F","Ottawa",26270,17,5,"YES"
"249",249,"Roger","Staggs","M","Montreal",27784,12,3,"NO"
"250",250,"David","Miller","M","Vancouver",49251,12,3,"YES"
"251",251,"Breanna","Pfeffer","F","Ottawa",39314,15,4,"YES"
"252",252,"Mackenzie","Lighthall","F","Victoria",18914,10,4,"NO"
"253",253,"Krystal","Pomroy","F","Ottawa",14370,16,4,"NO"
"254",254,"Dawn","Morton","F","Montreal",33660,11,3,"NO"
"255",255,"Cody","Livesay","M","Victoria",37271,10,4,"YES"
"256",256,"Joshua","Hornecker","M","Toronto",26171,11,4,"NO"
"257",257,"Anita","Jessop","F","Vancouver",34566,13,2,"NO"
"258",258,"Alexander","Nies","M","Toronto",18679,10,3,"NO"
"259",259,"Madison","Kessler","F","Calgary",20494,11,3,"NO"
"260",260,"Nathaniel","Wilson","M","Winnipeg",19942,12,4,"NO"
"261",261,"Jeffrey","Bryant","M","Ottawa",20553,10,2,"NO"
"262",262,"Kyla","Willcox","F","Ottawa",30952,10,4,"NO"
"263",263,"Lyle","Siver","M","Vancouver",17488,10,3,"NO"
"264",264,"Maxwell","Barrow","M","Vancouver",41722,18,1,"NO"
"265",265,"Alex","Snow","M","Ottawa",22546,10,1,"NO"
"266",266,"Jasmine","Amidei","F","Toronto",25783,13,2,"NO"
"267",267,"Emily","Payton","F","Victoria",27110,10,4,"NO"
"268",268,"Ethan","Martens","M","Montreal",29153,10,4,"NO"
"269",269,"Samantha","Thompson","F","Winnipeg",46554,12,5,"YES"
"270",270,"Ryan","Schellin","M","Montreal",30131,10,4,"NO"
"271",271,"Rachel","Robinson","F","Toronto",35280,10,3,"NO"
"272",272,"Zachary","Fredrickson","M","Ottawa",12053,10,4,"NO"
"273",273,"Sarah","Mcauliffe","F","Vancouver",34754,10,4,"YES"
"274",274,"Lucas","Hollenbach","M","Calgary",37006,18,2,"NO"
"275",275,"Austin","Smith","M","Toronto",28230,14,3,"NO"
"276",276,"Ashley","Kuegemann","F","Vancouver",43880,11,2,"NO"
"277",277,"Connor","Elisha","M","Calgary",17594,11,3,"NO"
"278",278,"Nikki","Lynch","F","Toronto",17483,10,5,"NO"
"279",279,"Dustin","Griffin","M","Winnipeg",52944,14,1,"NO"
"280",280,"Alex","Owens","F","Ottawa",13109,12,2,"NO"
"281",281,"Seth","Holiday","M","Vancouver",24431,11,3,"NO"
"282",282,"Cassandra","Downing","F","Montreal",48803,17,3,"NO"
"283",283,"Richard","Wilson","M","Calgary",54491,12,4,"YES"
"284",284,"Brandon","Jones","M","Vancouver",22702,10,2,"NO"
"285",285,"Tyler","Mcalpin","M","Victoria",44060,11,4,"YES"
"286",286,"Eli","Steward","M","Vancouver",77485,10,3,"YES"
"287",287,"Alexander","Cox","M","Edmonton",28447,16,3,"NO"
"288",288,"Mary","Elkin","F","Victoria",26884,10,4,"NO"
"289",289,"Kaia","Meeker","F","Montreal",25859,10,4,"YES"
"290",290,"Dylan","Chandler","M","Victoria",19480,12,3,"NO"
"291",291,"Kara","Israelsen","F","Winnipeg",14363,10,3,"NO"
"292",292,"Julia","Jones","F","Vancouver",40337,10,2,"NO"
"293",293,"Angie","Ekbom","F","Edmonton",21651,13,2,"NO"
"294",294,"Christopher","Stone","M","Vancouver",17385,12,2,"NO"
"295",295,"Matthew","Lehr","M","Calgary",27258,15,3,"NO"
"296",296,"Cassady","Makarov","F","Montreal",31815,10,2,"NO"
"297",297,"Cherise","Allen","F","Vancouver",35224,11,4,"YES"
"298",298,"Hannah","Vinyard","F","Edmonton",43513,14,4,"YES"
"299",299,"Klay","Nequette","M","Calgary",27396,11,3,"NO"
"300",300,"Garrett","Roybal","M","Ottawa",20254,10,2,"NO"
"301",301,"Zoe","Corl","F","Montreal",30697,10,3,"NO"
"302",302,"Ariel","Trott","F","Winnipeg",27795,12,2,"NO"
"303",303,"Ryan","Mitchell","M","Montreal",19529,10,4,"NO"
"304",304,"Kaitlyn","Sargent","F","Vancouver",18981,12,4,"NO"
"305",305,"Radimir","Henry","M","Montreal",28854,10,2,"NO"
"306",306,"Anna","Emery","F","Ottawa",41797,16,4,"YES"
"307",307,"Jacob","Millis","M","Winnipeg",29395,10,4,"NO"
"308",308,"Taylor","Gonzales","F","Calgary",22968,15,3,"NO"
"309",309,"Meagan","Klein","F","Toronto",19680,10,4,"NO"
"310",310,"M Joseph","Eisen","M","Montreal",14065,14,3,"NO"
"311",311,"Amanda","Berry","F","Edmonton",23808,10,3,"NO"
"312",312,"Amanda","Elder","F","Toronto",29635,14,2,"NO"
"313",313,"Alec","Dawson","M","Vancouver",36710,10,2,"NO"
"314",314,"Anthony","Jiles","M","Winnipeg",13674,13,2,"NO"
"315",315,"Cody","Stephenson","M","Edmonton",21928,10,1,"NO"
"316",316,"Lucas","Norris","M","Ottawa",19028,10,3,"NO"
"317",317,"Aimee","Loma Tranquilino","F","Winnipeg",35783,10,3,"NO"
"318",318,"Alisha","Steerman","F","Edmonton",26431,12,4,"NO"
"319",319,"Ethan","Schettler","M","Montreal",15032,10,2,"NO"
"320",320,"Cole","Warren","M","Ottawa",54328,11,3,"NO"
"321",321,"Alexa","Wymer","F","Edmonton",28189,16,2,"NO"
"322",322,"Scott","Schneider","M","Montreal",24240,10,4,"NO"
"323",323,"Cassidy","Rocha","F","Edmonton",50619,10,4,"YES"
"324",324,"Jeffery","Navratil","M","Victoria",29713,12,1,"NO"
"325",325,"Cassandra","Wayment","F","Montreal",45546,11,1,"NO"
"326",326,"Lacey","Armstrong","F","Toronto",20315,10,2,"NO"
"327",327,"Demi","Mcclanahan","F","Winnipeg",23093,14,3,"NO"
"328",328,"Dominic","Langston","M","Winnipeg",17720,11,2,"NO"
"329",329,"Thomas","Roozen","M","Ottawa",50125,10,2,"YES"
"330",330,"Tammara","Stemas","F","Edmonton",27183,13,3,"NO"
"331",331,"Anthony","Hayes","M","Calgary",34986,10,3,"YES"
"332",332,"Michael","Niehaus","M","Calgary",39566,17,5,"YES"
"333",333,"Dustin","Hix","M","Toronto",22020,13,3,"NO"
"334",334,"Ashley","Maynard","F","Montreal",17837,11,3,"NO"
"335",335,"Anthony","Overlie","M","Toronto",19428,10,4,"NO"
"336",336,"Chelsea","Manweiler","F","Edmonton",21312,18,3,"NO"
"337",337,"Christa","Strelecki","F","Vancouver",16573,10,4,"NO"
"338",338,"Erica","Bayer","F","Winnipeg",23743,10,3,"NO"
"339",339,"Kayla","Nickless","F","Calgary",57743,10,4,"YES"
"340",340,"Loralee","Rice","F","Victoria",25903,15,2,"NO"
"341",341,"Keven","Bowes","M","Toronto",23691,13,1,"NO"
"342",342,"Leanne","Bell","F","Calgary",20429,11,4,"NO"
"343",343,"Cory","Wettlaufer","M","Vancouver",36042,15,2,"NO"
"344",344,"Travis","Wells","M","Victoria",23000,19,4,"NO"
"345",345,"Tristan","Swaim","F","Ottawa",31189,15,4,"YES"
"346",346,"Katelyn","Booker","F","Calgary",33764,10,2,"NO"
"347",347,"Marisa","Vande Hoef","F","Edmonton",44902,10,4,"YES"
"348",348,"Greg","Schreiber","M","Winnipeg",29644,10,2,"NO"
"349",349,"Alexsander","Stone","M","Vancouver",25690,10,3,"NO"
"350",350,"Kevin","Rummings","M","Winnipeg",19698,10,2,"NO"
"351",351,"Jordan","Kelly","F","Ottawa",23672,14,4,"NO"
"352",352,"Levi","Smith","M","Montreal",20595,10,4,"NO"
"353",353,"Hannah","Servais","F","Vancouver",58903,13,2,"YES"
"354",354,"Gage","Vigil","M","Edmonton",20924,14,4,"NO"
"355",355,"Amanda","Serra","F","Toronto",14878,10,3,"NO"
"356",356,"Montana","Kalkman","F","Victoria",31899,14,3,"NO"
"357",357,"Mariah","Rasdon","F","Edmonton",19236,10,5,"YES"
"358",358,"Fletcher","Mc Clure","M","Ottawa",36322,10,3,"NO"
"359",359,"Andrew","Paglione","M","Vancouver",24732,10,2,"NO"
"360",360,"Shawn","Andree","M","Edmonton",16267,11,5,"YES"
"361",361,"Jessie","Neu","F","Edmonton",18665,10,3,"NO"
"362",362,"Chanley","Hjelle","F","Edmonton",19458,14,3,"NO"
"363",363,"Amber","Lisovtseva","F","Winnipeg",22363,16,2,"NO"
"364",364,"Dominic","Boyd","M","Montreal",21506,10,1,"NO"
"365",365,"Junai","Hoff","F","Victoria",24509,10,3,"NO"
"366",366,"Nickolas","Jones","M","Victoria",34692,10,3,"YES"
"367",367,"Madison","Betts","F","Montreal",33714,10,3,"NO"
"368",368,"Isaac","Crosley","M","Toronto",18662,15,2,"NO"
"369",369,"Isabelle","Holz","F","Vancouver",21816,10,3,"NO"
"370",370,"Patrick","Hathaway Meyer","M","Ottawa",42120,13,4,"YES"
"371",371,"Connor","Flynn","M","Vancouver",21180,13,4,"NO"
"372",372,"Charles","Voss","M","Edmonton",39630,12,3,"YES"
"373",373,"Megan","Robison","F","Vancouver",19998,10,2,"NO"
"374",374,"Amanda","Stachel","F","Victoria",32763,10,3,"NO"
"375",375,"Taylor","Nash","F","Winnipeg",46763,10,3,"NO"
"376",376,"Julia","Trujillo","F","Winnipeg",63182,11,4,"YES"
"377",377,"Travis","Miltenberger","M","Calgary",35199,12,3,"NO"
"378",378,"Colin","Acuna","M","Victoria",40505,12,3,"YES"
"379",379,"Sydney","Elbaum","F","Calgary",41317,18,3,"YES"
"380",380,"Christopher","Moeller","M","Toronto",31402,10,4,"NO"
"381",381,"Dakota","Ricken","M","Ottawa",27293,14,2,"NO"
"382",382,"Austin","Hein","M","Toronto",19668,13,3,"NO"
"383",383,"Vanessa","Wood","F","Ottawa",18482,10,2,"NO"
"384",384,"Mariah","Higerd","F","Ottawa",24805,10,3,"NO"
"385",385,"Taylor","Reed","M","Calgary",17300,11,2,"NO"
"386",386,"Sara","Cole","F","Edmonton",26193,10,4,"NO"
"387",387,"Ashlea","Kleinman","F","Calgary",18657,16,3,"NO"
"388",388,"Brandon","Gruenhaupt","M","Ottawa",15242,10,4,"NO"
"389",389,"Grant","Odean","M","Winnipeg",14319,10,4,"NO"
"390",390,"Jessica","Sanville","F","Victoria",29838,10,3,"NO"
